Kontonr EIGEN;Kontobezeichnung (rein informativ!) EIGEN;Kontonr ALTERNATIV;Kontobezeichnung ALTERNATIV;
552102;Anz der Karosserie Arbeitspl;-;-;
552201;Anzahl der Lackierkabinen;-;-;
552202;Anzahl der Lackierkabinen;-;-;
553001;Anz der Std Rep i.A. <>fakt;-;-;
553002;Anz der Std Rep i.A. <>fakt;-;-;
553101;Anz der zugel VFW auf Abt K/L;-;-;
553102;Anz der zugel VFW auf Abt K/L;-;-;
553201;Anz der Werkstattersatzwagen;-;-;
553202;Anz der Werkstattersatzwagen;-;-;
554001;Verkaufte Std Karosserie Kd;-;-;
554002;Verkaufte Std Karosserie Kd;-;-;
554101;Verkaufte Std Lackiererei Kd;-;-;
554102;Verkaufte Std Lackiererei Kd;-;-;
554401;Verkaufte Std Karosserie int;-;-;
554402;Verkaufte Std Karosserie int;-;-;
554501;Verkaufte Std Lackiererei int;-;-;
554502;Verkaufte Std Lackiererei int;-;-;
554601;Verkaufte Std Kaross Garant&Ku;-;-;
554602;Verkaufte Std Kaross Garant&Ku;-;-;
554701;Verkaufte Std Lack Garantie&Ku;-;-;
554702;Verkaufte Std Lack Garantie&Ku;-;-;
560001;Verkaufte Tage Mietwagen;-;-;
560002;Verkaufte Tage Mietwagen;-;-;
560101;Anzahl der Mietwagen;-;-;
560102;Anzahl der Mietwagen;-;-;
560201;Verkaufte Liter Kraftstoffe;-;-;
560202;Verkaufte Liter Kraftstoffe;-;-;
590001;Geschätzter Immobilienwert;-;-;
590002;Geschätzter Immobilienwert;-;-;
590101;Anz Bestand VFW- u Ersatz AV;-;-;
590102;Anz Bestand VFW- u Ersatz AV;-;-;
590201;Anzahl Bestand Mietwagen;-;-;
590202;Anzahl Bestand Mietwagen;-;-;
590301;Anzahl Bestand Geschäftswagen;-;-;
590302;Anzahl Bestand Geschäftswagen;-;-;
590401;Anzahl Bestand Leasingwagen;-;-;
590402;Anzahl Bestand Leasingwagen;-;-;
590501;Anzahl Bestand NW PKW Opel;-;-;
590502;Anzahl Bestand NW PKW Opel;-;-;
590511;Anzahl Bestand NW PKW Saab;-;-;
590512;Anzahl Bestand NW PKW Saab;-;-;
590521;Anzahl Bestand NW PKW Chev;-;-;
590522;Anzahl Bestand NW PKW Chev;-;-;
590531;Anzahl Bestand NW PKW sonst;-;-;
590532;Anzahl Bestand NW PKW sonst;-;-;
590701;Anzahl Bestand NW NFZ Opel;-;-;
590702;Anzahl Bestand NW NFZ Opel;-;-;
590801;Anz Bestand NW NFZ GM&S;-;-;
590802;Anz Bestand NW NFZ GM&S;-;-;
590901;Anzahl Bestand GW;-;-;
590902;Anzahl Bestand GW;-;-;
591001;Anzahl Bestand VFW OPEL;-;-;
591002;Anzahl Bestand VFW OPEL;-;-;
591011;Anzahl Bestand VFW Saab;-;-;
591012;Anzahl Bestand VFW Saab;-;-;
591021;Anzahl Bestand VFW Chev;-;-;
591022;Anzahl Bestand VFW Chev;-;-;
591101;Anz Bestd Werkstattersatzwg UV;-;-;
591102;Anz Bestd Werkstattersatzwg UV;-;-;
591201;Anzahl Bestand Mietwagen;-;-;
591202;Anzahl Bestand Mietwagen;-;-;
591501;Aftersales-Forderungen;-;-;
591502;Aftersales-Forderungen;-;-;
592001;Verkaufsleiter NW Kunden;-;-;
592002;Verkaufsleiter NW Kunden;-;-;
592101;Verkäufer NW PKW Kunden;-;-;
592102;Verkäufer NW PKW Kunden;-;-;
592201;Verkäufer NW NFZ Kunden;-;-;
592202;Verkäufer NW NFZ Kunden;-;-;
592301;Sonstige Mitarbeiter - NW Kd;-;-;
592302;Sonstige Mitarbeiter - NW Kd;-;-;
592501;Verkaufsleiter NW Großkunden;-;-;
592502;Verkaufsleiter NW Großkunden;-;-;
592601;Verkäufer NW PKW Großkunden;-;-;
592602;Verkäufer NW PKW Großkunden;-;-;
592701;Verkäufer NW NFZ Großkunden;-;-;
592702;Verkäufer NW NFZ Großkunden;-;-;
592801;Sonstige MA - NW Großkd;-;-;
592802;Sonstige MA - NW Großkd;-;-;
593001;Verkaufsl NW Kd & Großkd;-;-;
593002;Verkaufsl NW Kd & Großkd;-;-;
593101;Verkäufer NW PKW Kd&Großkd;-;-;
593102;Verkäufer NW PKW Kd&Großkd;-;-;
593201;Verkäufer NW NFZ Kd&Großkd;-;-;
593202;Verkäufer NW NFZ Kd&Großkd;-;-;
593301;Sonstige MA - NW Kd&Großkd;-;-;
593302;Sonstige MA - NW Kd&Großkd;-;-;
593501;Verkaufsleiter GW;-;-;
593502;Verkaufsleiter GW;-;-;
593601;Verkäufer GW;-;-;
593602;Verkäufer GW;-;-;
593701;Sonstige Mitarbeiter - GW;-;-;
593702;Sonstige Mitarbeiter - GW;-;-;
594501;Werkstattleitung Mechanik;-;-;
594502;Werkstattleitung Mechanik;-;-;
594601;Mitarbeiter Verwaltung;-;-;
594602;Mitarbeiter Verwaltung;-;-;
594701;Sonstige Mitarbeiter;-;-;
594702;Sonstige Mitarbeiter;-;-;
594801;Serviceberater;-;-;
594802;Serviceberater;-;-;
595001;Techniker / Mechaniker;-;-;
595002;Techniker / Mechaniker;-;-;
595101;Auszubildende Mechanik;-;-;
595102;Auszubildende Mechanik;-;-;
595301;Werkstattleitung K&L;-;-;
595302;Werkstattleitung K&L;-;-;
595401;Mitarbeiter Verwaltung;-;-;
595402;Mitarbeiter Verwaltung;-;-;
595501;Sonstige Mitarbeiter;-;-;
595502;Sonstige Mitarbeiter;-;-;
595601;Serviceberater;-;-;
595602;Serviceberater;-;-;
595801;Techniker / Mechaniker;-;-;
595802;Techniker / Mechaniker;-;-;
595901;Auszubildende K&L;-;-;
595902;Auszubildende K&L;-;-;
597101;Leitung Teile & Zubehör;-;-;
597102;Leitung Teile & Zubehör;-;-;
597201;Mitarbeiter Verwaltung;-;-;
597202;Mitarbeiter Verwaltung;-;-;
597301;Verkäufer - Theke;-;-;
597302;Verkäufer - Theke;-;-;
597401;Verkäufer - Großhandel;-;-;
597402;Verkäufer - Großhandel;-;-;
598401;Vermietung (Opel Rent);-;-;
598402;Vermietung (Opel Rent);-;-;
598501;Leasing;-;-;
598502;Leasing;-;-;
598601;Tankstelle;-;-;
598602;Tankstelle;-;-;
598701;Sonstige Abteilung;-;-;
598702;Sonstige Abteilung;-;-;
598901;Geschäftsführer;-;-;
598902;Geschäftsführer;-;-;
599001;Finanzleiter;-;-;
599002;Finanzleiter;-;-;
599101;Mitarbeiter Verwaltung;-;-;
599102;Mitarbeiter Verwaltung;-;-;
599201;Sonstige Mitarbeiter;-;-;
599202;Sonstige Mitarbeiter;-;-;
599501;Nicht-GM Personal;-;-;
599502;Nicht-GM Personal;-;-;
599991;Stat. Gegenkonto;-;-;
599992;Stat. Gegenkonto;-;-;
600001;Summe Statistikkonten;-;-;
600002;Summe Statistikkonten;-;-;
600101;Bestandskorrektur OTZ;-;-;
600102;Bestandskorrektur OTZ;-;-;
600201;Bestandskorrektur OTZTAUS;-;-;
600202;Bestandskorrektur OTZTAUS;-;-;
600301;Bestandskorrektur ATZ;-;-;
600302;Bestandskorrektur ATZ;-;-;
600401;Bestandskorrektur ATZTAUS;-;-;
600402;Bestandskorrektur ATZTAUS;-;-;
600501;Bestandskorrektur GMTEIL;-;-;
600502;Bestandskorrektur GMTEIL;-;-;
600601;Bestandskorektur Irmscher;-;-;
600602;Bestandskorektur Irmscher;-;-;
600701;Bestandskorektur Öle;-;-;
600702;Bestandskorektur Öle;-;-;
600801;Bestandskorektur Reifen;-;-;
600802;Bestandskorektur Reifen;-;-;
600901;Bestandskorektur sonstige;-;-;
600902;Bestandskorektur sonstige;-;-;
601001;Bestandskorr CTZ;-;-;
601002;Bestandskorr CTZ;-;-;
700001;Einsatzwerte;-;-;
700002;Einsatzwerte;-;-;
710001;NW EW Agila an Kunden Kauf;-;-;
710002;NW EW Agila an Kunden Kauf;-;-;
710011;NW EW Agila an Kunden Leas;-;-;
710012;NW EW Agila an Kunden Leas;-;-;
710021;NW EW Agila an Gewerbekd Kauf;-;-;
710022;NW EW Agila an Gewerbekd Kauf;-;-;
710031;NW EW Agila an Gewerbekd Leas;-;-;
710032;NW EW Agila an Gewerbekd Leas;-;-;
710041;NW EW Agila an Großkd Kauf;-;-;
710042;NW EW Agila an Großkd Kauf;-;-;
710051;NW EW Agila an Großkd Leas;-;-;
710052;NW EW Agila an Großkd Leas;-;-;
710061;NW EW Agila an Vermittler Kauf;-;-;
710062;NW EW Agila an Vermittler Kauf;-;-;
710071;NW EW Agila an Vermittler Leas;-;-;
710072;NW EW Agila an Vermittler Leas;-;-;
710101;NW EW Corsa an Kunden Kauf;-;-;
710102;NW EW Corsa an Kunden Kauf;-;-;
710111;NW EW Corsa an Kunden Leas;-;-;
710112;NW EW Corsa an Kunden Leas;-;-;
710121;NW EW Corsa an Gewerbekd Kauf;-;-;
710122;NW EW Corsa an Gewerbekd Kauf;-;-;
710131;NW EW Corsa an Gewerbekd Leas;-;-;
710132;NW EW Corsa an Gewerbekd Leas;-;-;
710141;NW EW Corsa an Großkunden Kauf;-;-;
710142;NW EW Corsa an Großkunden Kauf;-;-;
710151;NW EW Corsa an Großkunden Leas;-;-;
710152;NW EW Corsa an Großkunden Leas;-;-;
710161;NW EW Corsa an Vermittler Kauf;-;-;
710162;NW EW Corsa an Vermittler Kauf;-;-;
710171;NW EW Corsa an Vermittler Leas;-;-;
710172;NW EW Corsa an Vermittler Leas;-;-;
710201;NW EW Karl an Kunden Kauf;-;-;
710202;NW EW Karl an Kunden Kauf;-;-;
710211;NW EW Karl an Kunden Leas;-;-;
710212;NW EW Karl an Kunden Leas;-;-;
710221;NW EW Karl an Gewdkd Kauf;-;-;
710222;NW EW Karl an Gewdkd Kauf;-;-;
710231;NW EW Karl an Gewdkd Leas;-;-;
710232;NW EW Karl an Gewdkd Leas;-;-;
710241;NW EW Karl an Großkd Kauf;-;-;
710242;NW EW Karl an Großkd Kauf;-;-;
710251;NW EW Karl an Großkd Leas;-;-;
710252;NW EW Karl an Großkd Leas;-;-;
710261;NW EW Karl an Vermitt Kauf;-;-;
710262;NW EW Karl an Vermitt Kauf;-;-;
710271;NW EW Karl an Vermitt Leas;-;-;
710272;NW EW Karl an Vermitt Leas;-;-;
710301;NW EW Adam an Kunden Kauf;-;-;
710302;NW EW Adam an Kunden Kauf;-;-;
710311;NW EW Adam an Kunden Leas;-;-;
710312;NW EW Adam an Kunden Leas;-;-;
710321;NW EW Adam an Gewerbekd Kauf;-;-;
710322;NW EW Adam an Gewerbekd Kauf;-;-;
710331;NW EW Adam an Gewerbekd Leas;-;-;
710332;NW EW Adam an Gewerbekd Leas;-;-;
710341;NW EW Adam an Großkd Kauf;-;-;
710342;NW EW Adam an Großkd Kauf;-;-;
710351;NW EW Adam an Großkd Leas;-;-;
710352;NW EW Adam an Großkd Leas;-;-;
710361;NW EW Adam an Vermittler Kau;-;-;
710362;NW EW Adam an Vermittler Kau;-;-;
710371;NW EW Adam an Vermittler Lea;-;-;
710372;NW EW Adam an Vermittler Lea;-;-;
710401;NW EW Meriva an Kunden Kauf;-;-;
710402;NW EW Meriva an Kunden Kauf;-;-;
710411;NW EW Meriva an Kunden Leas;-;-;
710412;NW EW Meriva an Kunden Leas;-;-;
710421;NW EW Meriva an Gewerbekd Kauf;-;-;
710422;NW EW Meriva an Gewerbekd Kauf;-;-;
710431;NW EW Meriva an Gewerbekd Leas;-;-;
710432;NW EW Meriva an Gewerbekd Leas;-;-;
710441;NW EW Meriva an Großkd Kauf;-;-;
710442;NW EW Meriva an Großkd Kauf;-;-;
710451;NW EW Meriva an Großkd Leas;-;-;
710452;NW EW Meriva an Großkd Leas;-;-;
710461;NW EW Meriva an Vermitt Kauf;-;-;
710462;NW EW Meriva an Vermitt Kauf;-;-;
710471;NW EW Meriva an Vermitt Leas;-;-;
710472;NW EW Meriva an Vermitt Leas;-;-;
710501;NW EW Crossland X an KD Kauf;-;-;
710502;NW EW Crossland X an KD Kauf;-;-;
710511;NW EW Crossland X an KD Leas;-;-;
710512;NW EW Crossland X an KD Leas;-;-;
710521;NW EW Crossland X an Gewkd Kau;-;-;
710522;NW EW Crossland X an Gewkd Kau;-;-;
710531;NW EW Crossland X an Gewkd Lea;-;-;
710532;NW EW Crossland X an Gewkd Lea;-;-;
710541;NW EW Crossland X an Großkd Ka;-;-;
710542;NW EW Crossland X an Großkd Ka;-;-;
710551;NW EW Crossland X an Großkd Le;-;-;
710552;NW EW Crossland X an Großkd Le;-;-;
710561;NW EW Crossland X an Verm Kauf;-;-;
710562;NW EW Crossland X an Verm Kauf;-;-;
710571;NW EW Crossland X an Verm Leas;-;-;
710572;NW EW Crossland X an Verm Leas;-;-;
710601;NW EW Astra an Kunden Kauf;-;-;
710602;NW EW Astra an Kunden Kauf;-;-;
710611;NW EW Astra an Kunden Leas;-;-;
710612;NW EW Astra an Kunden Leas;-;-;
710621;NW EW Astra an Gewerbekd Kauf;-;-;
710622;NW EW Astra an Gewerbekd Kauf;-;-;
710631;NW EW Astra an Gewerbekd Leas;-;-;
710632;NW EW Astra an Gewerbekd Leas;-;-;
710641;NW EW Astra an Großkd Kauf;-;-;
710642;NW EW Astra an Großkd Kauf;-;-;
710651;NW EW Astra an Großkd Leas;-;-;
710652;NW EW Astra an Großkd Leas;-;-;
710661;NW EW Astra an Vermitt Kauf;-;-;
710662;NW EW Astra an Vermitt Kauf;-;-;
710671;NW EW Astra an Vermitt Leas;-;-;
710672;NW EW Astra an Vermitt Leas;-;-;
710701;NW EW Cascada an Kunden Kauf;-;-;
710702;NW EW Cascada an Kunden Kauf;-;-;
710711;NW EW Cascada an Kunden Leas;-;-;
710712;NW EW Cascada an Kunden Leas;-;-;
710721;NW EW Cascada an Gewerbekd Kau;-;-;
710722;NW EW Cascada an Gewerbekd Kau;-;-;
710731;NW EW Cascada an Gewerbekd Lea;-;-;
710732;NW EW Cascada an Gewerbekd Lea;-;-;
710741;NW EW Cascada an Großkd Kauf;-;-;
710742;NW EW Cascada an Großkd Kauf;-;-;
710751;NW EW Cascada an Großkd Leas;-;-;
710752;NW EW Cascada an Großkd Leas;-;-;
710761;NW EW Cascada an Vermitt Kauf;-;-;
710762;NW EW Cascada an Vermitt Kauf;-;-;
710771;NW EW Cascada an Vermitt Leas;-;-;
710772;NW EW Cascada an Vermitt Leas;-;-;
710801;NW EW Zafira an Kunden Kauf;-;-;
710802;NW EW Zafira an Kunden Kauf;-;-;
710811;NW EW Zafira an Kunden Leas;-;-;
710812;NW EW Zafira an Kunden Leas;-;-;
710821;NW EW Zafira an Gewerbekd Kauf;-;-;
710822;NW EW Zafira an Gewerbekd Kauf;-;-;
710831;NW EW Zafira an Gewerbekd Leas;-;-;
710832;NW EW Zafira an Gewerbekd Leas;-;-;
710841;NW EW Zafira an Großkd Kauf;-;-;
710842;NW EW Zafira an Großkd Kauf;-;-;
710851;NW EW Zafira an Großkd Leas;-;-;
710852;NW EW Zafira an Großkd Leas;-;-;
710861;NW EW Zafira an Vermitt Kauf;-;-;
710862;NW EW Zafira an Vermitt Kauf;-;-;
710871;NW EW Zafira an Vermitt Leas;-;-;
710872;NW EW Zafira an Vermitt Leas;-;-;
710901;NW EW Mokka an Kunden Kauf;-;-;
710902;NW EW Mokka an Kunden Kauf;-;-;
710911;NW EW Mokka an Kunden Leas;-;-;
710912;NW EW Mokka an Kunden Leas;-;-;
710921;NW EW Mokka an Gewerbekd Kauf;-;-;
710922;NW EW Mokka an Gewerbekd Kauf;-;-;
710931;NW EW Mokka an Gewerbekd Leas;-;-;
710932;NW EW Mokka an Gewerbekd Leas;-;-;
710941;NW EW Mokka an Großkd Kauf;-;-;
710942;NW EW Mokka an Großkd Kauf;-;-;
710951;NW EW Mokka an Großkd Leas;-;-;
710952;NW EW Mokka an Großkd Leas;-;-;
710961;NW EW Mokka an Vermitt Kauf;-;-;
710962;NW EW Mokka an Vermitt Kauf;-;-;
710971;NW EW Mokka an Vermitt Leas;-;-;
710972;NW EW Mokka an Vermitt Leas;-;-;
711001;NW EW Ampera e an Kd Kauf;-;-;
711002;NW EW Ampera e an Kd Kauf;-;-;
711011;NW EW Ampera e an Kd Leas;-;-;
711012;NW EW Ampera e an Kd Leas;-;-;
711021;NW EW Ampera e an Gewkd Kauf;-;-;
711022;NW EW Ampera e an Gewkd Kauf;-;-;
711031;NW EW Ampera e an Gewdkd Leas;-;-;
711032;NW EW Ampera e an Gewdkd Leas;-;-;
711041;NW EW Ampera e an Großkd Kauf;-;-;
711042;NW EW Ampera e an Großkd Kauf;-;-;
711051;NW EW Ampera e an Großkd Leas;-;-;
711052;NW EW Ampera e an Großkd Leas;-;-;
711061;NW EW Ampera e Vermitt Kauf;-;-;
711062;NW EW Ampera e Vermitt Kauf;-;-;
711071;NW EW Ampera e Vermitt Leas;-;-;
711072;NW EW Ampera e Vermitt Leas;-;-;
711101;NW EW Insignia an Kunden Kauf;-;-;
711102;NW EW Insignia an Kunden Kauf;-;-;
711111;NW EW Insignia an Kunden Leas;-;-;
711112;NW EW Insignia an Kunden Leas;-;-;
711121;NW EW Insignia an Gewkd Kauf;-;-;
711122;NW EW Insignia an Gewkd Kauf;-;-;
711131;NW EW Insignia an Gewkd Leas;-;-;
711132;NW EW Insignia an Gewkd Leas;-;-;
711141;NW EW Insignia an Großkd Kauf;-;-;
711142;NW EW Insignia an Großkd Kauf;-;-;
711151;NW EW Insignia an Großkd Leas;-;-;
711152;NW EW Insignia an Großkd Leas;-;-;
711161;NW EW Insignia an Vermitt Kauf;-;-;
711162;NW EW Insignia an Vermitt Kauf;-;-;
711171;NW EW Insignia an Vermitt Leas;-;-;
711172;NW EW Insignia an Vermitt Leas;-;-;
711201;NW EW Frontera an Kunden Kauf;-;-;
711202;NW EW Frontera an Kunden Kauf;-;-;
711211;NW EW Frontera an Kunden Leas;-;-;
711212;NW EW Frontera an Kunden Leas;-;-;
711221;NW EW Frontera an Gewkd Kauf;-;-;
711222;NW EW Frontera an Gewkd Kauf;-;-;
711231;NW EW Frontera an Gewkd Leas;-;-;
711232;NW EW Frontera an Gewkd Leas;-;-;
711241;NW EW Frontera an Großkd Kauf;-;-;
711242;NW EW Frontera an Großkd Kauf;-;-;
711251;NW EW Frontera an Großkd Leas;-;-;
711252;NW EW Frontera an Großkd Leas;-;-;
711261;NW EW Frontera an Vermitt Kauf;-;-;
711262;NW EW Frontera an Vermitt Kauf;-;-;
711271;NW EW Frontera an Vermitt Leas;-;-;
711272;NW EW Frontera an Vermitt Leas;-;-;
711301;NW EW GT an Kunden Kauf;-;-;
711302;NW EW GT an Kunden Kauf;-;-;
711311;NW EW GT an Kunden Leas;-;-;
711312;NW EW GT an Kunden Leas;-;-;
711321;NW EW GT an Gewkd Kauf;-;-;
711322;NW EW GT an Gewkd Kauf;-;-;
711331;NW EW GT an Gewkd Leas;-;-;
711332;NW EW GT an Gewkd Leas;-;-;
711341;NW EW GT an Großkd Kauf;-;-;
711342;NW EW GT an Großkd Kauf;-;-;
711351;NW EW GT an Großkd Leas;-;-;
711352;NW EW GT an Großkd Leas;-;-;
711361;NW EW GT Vermitt Kauf;-;-;
711362;NW EW GT Vermitt Kauf;-;-;
711371;NW EW GT Vermitt Leas;-;-;
711372;NW EW GT Vermitt Leas;-;-;
711401;NW EW US-Fzg an Kunden Kauf;-;-;
711402;NW EW US-Fzg an Kunden Kauf;-;-;
711411;NW EW US-Fzg an Kunden Leas;-;-;
711412;NW EW US-Fzg an Kunden Leas;-;-;
711421;NW EW US-Fzg an Gewkd Kauf;-;-;
711422;NW EW US-Fzg an Gewkd Kauf;-;-;
711431;NW EW US-Fzg an Gewkd Leas;-;-;
711432;NW EW US-Fzg an Gewkd Leas;-;-;
711441;NW EW US-Fzg an Großkd Kauf;-;-;
711442;NW EW US-Fzg an Großkd Kauf;-;-;
711451;NW EW US-Fzg an Großkd Leas;-;-;
711452;NW EW US-Fzg an Großkd Leas;-;-;
711461;NW EW US-Fzg an Vermitt Kauf;-;-;
711462;NW EW US-Fzg an Vermitt Kauf;-;-;
711471;NW EW US-Fzg an Vermitt Leas;-;-;
711472;NW EW US-Fzg an Vermitt Leas;-;-;
711501;NW EW sonst GM Fzg Kunden Kauf;-;-;
711502;NW EW sonst GM Fzg Kunden Kauf;-;-;
711511;NW EW sonst GM Fzg Kunden Leas;-;-;
711512;NW EW sonst GM Fzg Kunden Leas;-;-;
711521;NW EW sonst GM Fzg Gewkd Kauf;-;-;
711522;NW EW sonst GM Fzg Gewkd Kauf;-;-;
711531;NW EW sonst GM Fzg Gewkd Leas;-;-;
711532;NW EW sonst GM Fzg Gewkd Leas;-;-;
711541;NW EW sonst GM Fzg Großkd Kauf;-;-;
711542;NW EW sonst GM Fzg Großkd Kauf;-;-;
711551;NW EW sonst GM Fzg Großkd Leas;-;-;
711552;NW EW sonst GM Fzg Großkd Leas;-;-;
711561;NW EW sonst GM Fzg Vermitt K;-;-;
711562;NW EW sonst GM Fzg Vermitt K;-;-;
711571;NW EW sonst GM Fzg Vermitt L;-;-;
711572;NW EW sonst GM Fzg Vermitt L;-;-;
711601;NW EW Corsa Van an Kd Kauf;-;-;
711602;NW EW Corsa Van an Kd Kauf;-;-;
711611;NW EW Corsa Van an Kd Leas;-;-;
711612;NW EW Corsa Van an Kd Leas;-;-;
711621;NW EW Corsa Van an Gewkd Kauf;-;-;
711622;NW EW Corsa Van an Gewkd Kauf;-;-;
711631;NW EW Corsa Van an Gewkd Leas;-;-;
711632;NW EW Corsa Van an Gewkd Leas;-;-;
711641;NW EW Corsa Van an Großkd Kauf;-;-;
711642;NW EW Corsa Van an Großkd Kauf;-;-;
711651;NW EW Corsa Van an Großkd Leas;-;-;
711652;NW EW Corsa Van an Großkd Leas;-;-;
711661;NW EW Corsa Van Vermitt Kauf;-;-;
711662;NW EW Corsa Van Vermitt Kauf;-;-;
711671;NW EW Corsa Van Vermitt Leas;-;-;
711672;NW EW Corsa Van Vermitt Leas;-;-;
711701;NW EW Combo Van Kd Kauf;-;-;
711702;NW EW Combo Van Kd Kauf;-;-;
711711;NW EW Combo Van Kd Leas;-;-;
711712;NW EW Combo Van Kd Leas;-;-;
711721;NW EW Combo Van Gewkd Kauf;-;-;
711722;NW EW Combo Van Gewkd Kauf;-;-;
711731;NW EW Combo Van Gewkd Leas;-;-;
711732;NW EW Combo Van Gewkd Leas;-;-;
711741;NW EW Combo Van Großkd Kauf;-;-;
711742;NW EW Combo Van Großkd Kauf;-;-;
711751;NW EW Combo Van Großkd Leas;-;-;
711752;NW EW Combo Van Großkd Leas;-;-;
711761;NW EW Combo Van Vermitt Kauf;-;-;
711762;NW EW Combo Van Vermitt Kauf;-;-;
711771;NW EW Combo Van Vermitt Leas;-;-;
711772;NW EW Combo Van Vermitt Leas;-;-;
711801;NW EW Astra Van an Kunden Kauf;-;-;
711802;NW EW Astra Van an Kunden Kauf;-;-;
711811;NW EW Astra Van an Kd Leas;-;-;
711812;NW EW Astra Van an Kd Leas;-;-;
711821;NW EW Astra Van an Gewkd Kauf;-;-;
711822;NW EW Astra Van an Gewkd Kauf;-;-;
711831;NW EW Astra Van an Gewkd Leas;-;-;
711832;NW EW Astra Van an Gewkd Leas;-;-;
711841;NW EW Astra Van an Großkd Kauf;-;-;
711842;NW EW Astra Van an Großkd Kauf;-;-;
711851;NW EW Astra Van an Großkd Leas;-;-;
711852;NW EW Astra Van an Großkd Leas;-;-;
711861;NW EW Astra Van Vermitt Kauf;-;-;
711862;NW EW Astra Van Vermitt Kauf;-;-;
711871;NW EW Astra Van Vermitt Leas;-;-;
711872;NW EW Astra Van Vermitt Leas;-;-;
711901;NW EW Grandland X KD Kauf;-;-;
711902;NW EW Grandland X KD Kauf;-;-;
711911;NW EW Grandland X Kd Leas;-;-;
711912;NW EW Grandland X Kd Leas;-;-;
711921;NW EW Grandland X Gewkd Kauf;-;-;
711922;NW EW Grandland X Gewkd Kauf;-;-;
711931;NW EW Grandland X Gewkd Leas;-;-;
711932;NW EW Grandland X Gewkd Leas;-;-;
711941;NW EW Grandland X Großkd Kauf;-;-;
711942;NW EW Grandland X Großkd Kauf;-;-;
711951;NW EW Grandland X Großkd leas;-;-;
711952;NW EW Grandland X Großkd leas;-;-;
711961;NW EW Grandland X Vermitt Kauf;-;-;
711962;NW EW Grandland X Vermitt Kauf;-;-;
711971;NW EW Grandland X Vermitt Leas;-;-;
711972;NW EW Grandland X Vermitt Leas;-;-;
712001;NW EW Vivaro an Kunden Kauf;-;-;
712002;NW EW Vivaro an Kunden Kauf;-;-;
712011;NW EW Vivaro an Kd Leas;-;-;
712012;NW EW Vivaro an Kd Leas;-;-;
712021;NW EW Vivaro an Gewkd Kauf;-;-;
712022;NW EW Vivaro an Gewkd Kauf;-;-;
712031;NW EW Vivaro an Gewkd Leas;-;-;
712032;NW EW Vivaro an Gewkd Leas;-;-;
712041;NW EW Vivaro an Großkd Kauf;-;-;
712042;NW EW Vivaro an Großkd Kauf;-;-;
712051;NW EW Vivaro an Großkd Leas;-;-;
712052;NW EW Vivaro an Großkd Leas;-;-;
712061;NW EW Vivaro an Vermitt Kauf;-;-;
712062;NW EW Vivaro an Vermitt Kauf;-;-;
712071;NW EW Vivaro an Vermitt Leas;-;-;
712072;NW EW Vivaro an Vermitt Leas;-;-;
712101;NW EW Movano an Kunden Kauf;-;-;
712102;NW EW Movano an Kunden Kauf;-;-;
712111;NW EW Movano an Kd Leas;-;-;
712112;NW EW Movano an Kd Leas;-;-;
712121;NW EW Movano an Gewkd Kauf;-;-;
712122;NW EW Movano an Gewkd Kauf;-;-;
712131;NW EW Movano an Gewkd Leas;-;-;
712132;NW EW Movano an Gewkd Leas;-;-;
712141;NW EW Movano an Großkd Kauf;-;-;
712142;NW EW Movano an Großkd Kauf;-;-;
712151;NW EW Movano an Großkd Leas;-;-;
712152;NW EW Movano an Großkd Leas;-;-;
712161;NW EW Movano an Vermitt Kauf;-;-;
712162;NW EW Movano an Vermitt Kauf;-;-;
712171;NW EW Movano an Vermitt Leas;-;-;
712172;NW EW Movano an Vermitt Leas;-;-;
712201;NW EW Crosscamp an KD Kauf;-;-;
712202;NW EW Crosscamp an KD Kauf;-;-;
712211;NW EW Crosscamp an KD Leas;-;-;
712212;NW EW Crosscamp an KD Leas;-;-;
712221;NW EW Crosscamp GewKD Kauf;-;-;
712222;NW EW Crosscamp GewKD Kauf;-;-;
712231;NW EW Crosscamp GewKD Leasing;-;-;
712232;NW EW Crosscamp GewKD Leasing;-;-;
712241;NW EW Crosscamp GroßKD Kauf;-;-;
712242;NW EW Crosscamp GroßKD Kauf;-;-;
712251;NW EW Crosscamp GroßKD Leasing;-;-;
712252;NW EW Crosscamp GroßKD Leasing;-;-;
712261;NW EW Crosscamp Verm Kauf;-;-;
712262;NW EW Crosscamp Verm Kauf;-;-;
712271;NW EW Crosscamp Verm Leasing;-;-;
712272;NW EW Crosscamp Verm Leasing;-;-;
712301;NW EW Astra TwinTop Kd Kauf;-;-;
712302;NW EW Astra TwinTop Kd Kauf;-;-;
712311;NW EW Astra TwinTop Kd Leas;-;-;
712312;NW EW Astra TwinTop Kd Leas;-;-;
712321;NW EW Astra TwinTop Gewkd Kauf;-;-;
712322;NW EW Astra TwinTop Gewkd Kauf;-;-;
712331;NW EW Astra TwinTop Gewkd Leas;-;-;
712332;NW EW Astra TwinTop Gewkd Leas;-;-;
712341;NW EW Astra TwinTop Großkd K;-;-;
712342;NW EW Astra TwinTop Großkd K;-;-;
712351;NW EW Astra TwinTop Großkd L;-;-;
712352;NW EW Astra TwinTop Großkd L;-;-;
712361;NW EW Astra TwinTop Vermitt K;-;-;
712362;NW EW Astra TwinTop Vermitt K;-;-;
712371;NW EW Astra TwinTop Vermitt L;-;-;
